order_id,user_id,order_date,category,order_value,payment_method,delivery_city
ORD0000001,USR00001,2025-10-21,Electronics,222.18,UPI,Pune
ORD0000002,USR00001,2025-11-16,Books,1926.14,Card,Pune
ORD0000003,USR00001,2025-12-25,Fashion,2517.2,UPI,Pune
ORD0000004,USR00001,2026-02-20,Electronics,606.39,UPI,Pune
ORD0000005,USR00001,2025-12-06,Books,8562.58,UPI,Pune
ORD0000006,USR00001,2025-12-24,Electronics,4884.61,UPI,Pune
ORD0000007,USR00001,2025-11-11,Books,2779.14,COD,Pune
ORD0000008,USR00002,2026-01-02,Electronics,4796.91,COD,Pune
ORD0000009,USR00002,2025-09-29,Electronics,714.21,UPI,Pune
ORD0000010,USR00002,2026-02-10,Books,5577.58,COD,Pune
ORD0000011,USR00002,2026-03-11,Fashion,5703.58,COD,Pune
ORD0000012,USR00002,2026-03-18,Electronics,5622.95,COD,Pune
ORD0000013,USR00002,2026-01-09,Books,1224.05,COD,Pune
ORD0000014,USR00002,2026-01-15,Books,1070.28,Card,Pune
ORD0000015,USR00002,2025-12-15,Electronics,8241.16,COD,Pune
ORD0000016,USR00002,2026-03-05,Books,5458.57,UPI,Pune
ORD0000017,USR00002,2025-10-06,Books,551.29,Card,Pune
ORD0000018,USR00003,2025-12-07,Home,4597.36,COD,Delhi
ORD0000019,USR00003,2025-12-04,Electronics,864.16,Card,Delhi
ORD0000020,USR00003,2026-03-15,Fashion,9841.91,Card,Delhi
ORD0000021,USR00003,2025-10-24,Books,7591.91,UPI,Delhi
ORD0000022,USR00003,2026-01-08,Electronics,2533.89,Card,Delhi
ORD0000023,USR00003,2025-11-26,Books,685.15,Card,Delhi
ORD0000024,USR00003,2025-11-13,Fashion,6874.71,UPI,Delhi
ORD0000025,USR00003,2025-10-07,Electronics,565.03,COD,Delhi
ORD0000026,USR00003,2025-11-06,Electronics,1002.29,COD,Delhi
ORD0000027,USR00003,2026-02-27,Electronics,859.9,Card,Delhi
ORD0000028,USR00003,2026-01-23,Fashion,6737.3,COD,Delhi
ORD0000029,USR00004,2026-01-30,Home,4166.81,Card,Mumbai
ORD0000030,USR00004,2025-12-06,Home,4195.42,UPI,Mumbai
ORD0000031,USR00004,2026-01-18,Fashion,1853.11,Card,Mumbai
ORD0000032,USR00005,2026-01-19,Home,9681.25,Card,Chennai
ORD0000033,USR00005,2026-03-21,Books,7313.7,COD,Chennai
ORD0000034,USR00006,2025-12-23,Home,4955.04,COD,Hyderabad
ORD0000035,USR00006,2026-03-02,Home,604.65,COD,Hyderabad
