user_id,join_date,city,country,account_age_days,loyalty_tier,num_devices_used,primary_device,is_fraud_ground_truth,total_orders,total_spend,avg_order_value,max_order_value,unique_categories,unique_cities,total_returns,total_refund_amt,avg_refund_amt,avg_days_to_return,min_days_to_return,high_value_returns,return_rate,refund_to_spend_ratio,orders_per_day,quick_return_flag,multi_city_flag,multi_device_flag,new_account_flag,high_value_return_flag,fraud_score,rf_probability,anomaly_score,risk_level,flagged_reasons
USR00001,2025-12-05,Pune,India,112,Bronze,1,Android,0,7,21498.239999999998,3071.1771428571424,8562.58,3,1,1.0,222.18,222.18,5.0,5.0,0.0,0.14285714285714285,0.010334799499866036,0.0625,0,0,0,0,0,14,4.8,30.4,Low,Pattern-based anomaly
USR00002,2026-01-05,Pune,India,81,Silver,1,Android,0,10,38960.58,3896.058,8241.16,3,1,2.0,6337.16,3168.58,4.5,3.0,1.0,0.2,0.16265568941735467,0.12345679012345678,0,0,0,0,0,13,10.9,17.3,Low,Pattern-based anomaly
USR00003,2025-11-16,Delhi,India,131,Bronze,3,Web,0,11,42153.61,3832.1463636363637,9841.91,4,1,6.0,18052.87,3008.8116666666665,4.166666666666667,2.0,2.0,0.5454545454545454,0.42826391381426165,0.08396946564885496,1,0,1,0,1,18,12.7,28.5,Low,Multi-device: 3+ devices | Refund ratio: 43% of spend | Return rate: 55%
USR00004,2024-12-14,Mumbai,India,468,Gold,1,Web,0,3,10215.34,3405.1133333333332,4195.42,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,1,0,0,0,0,6,0.2,17.6,Low,Avg days to return: 0.0 days avg | Quick returns: within 2 days
USR00005,2024-05-23,Chennai,India,673,Bronze,3,Web,0,2,16994.95,8497.475,9681.25,2,1,3.0,24308.65,8102.883333333334,8.666666666666666,8.0,3.0,1.5,1.4303454849823036,0.0029717682020802376,0,0,1,0,1,31,2.0,84.9,Medium,Multi-device: 3+ devices | Refund ratio: 143% of spend | Return rate: 150%
USR00006,2024-02-07,Hyderabad,India,779,Bronze,2,Android,0,7,38429.51,5489.93,7995.39,2,1,2.0,12793.2,6396.6,4.5,3.0,2.0,0.2857142857142857,0.33290041949533056,0.008985879332477536,0,0,0,0,1,7,0.0,20.2,Low,HV refunds: 2 refunds
USR00007,2025-09-07,Mumbai,India,201,Bronze,1,Android,0,7,41199.47,5885.638571428572,9925.89,4,1,1.0,9925.89,9925.89,7.0,7.0,1.0,0.14285714285714285,0.24092275944326466,0.03482587064676617,0,0,0,0,0,10,0.0,28.5,Low,Pattern-based anomaly
USR00008,2025-05-08,Chennai,India,323,Gold,2,Android,0,7,37067.48,5295.354285714287,8912.37,3,1,1.0,8342.86,8342.86,9.0,9.0,1.0,0.14285714285714285,0.22507221963834606,0.021671826625386997,0,0,0,0,0,9,0.0,26.4,Low,Pattern-based anomaly
USR00009,2023-11-12,Chennai,India,866,Bronze,1,Web,0,14,62691.06,4477.932857142857,9916.17,4,1,6.0,22888.03,3814.6716666666666,4.833333333333333,1.0,5.0,0.42857142857142855,0.3650924071151453,0.016166281755196306,1,0,0,0,1,9,0.0,25.2,Low,Return rate: 43% | HV refunds: 5 refunds | Quick returns: within 2 days
USR00010,2024-10-23,Pune,India,520,Gold,2,Web,0,3,10814.98,3604.9933333333333,5682.54,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057692307692307696,1,0,0,0,0,5,0.2,14.0,Low,Avg days to return: 0.0 days avg | Quick returns: within 2 days
