return_id,order_id,user_id,return_date,return_reason,refund_amount,days_to_return
RET0000001,ORD0000009,USR00002,2025-10-02,Changed mind,714.21,3
RET0000002,ORD0000012,USR00002,2026-03-24,Wrong item,5622.95,6
RET0000003,ORD0000019,USR00003,2025-12-06,Wrong item,864.16,2
RET0000004,ORD0000024,USR00003,2025-11-15,Changed mind,6874.71,2
RET0000005,ORD0000027,USR00003,2026-03-01,Wrong item,859.9,2
RET0000006,ORD0000033,USR00005,2026-03-30,Wrong item,7313.7,9
RET0000007,ORD0000034,USR00006,2025-12-26,Changed mind,4955.04,3
RET0000008,ORD0000039,USR00006,2026-01-29,Changed mind,7838.16,6
RET0000009,ORD0000041,USR00007,2025-11-07,Damaged,9925.89,7
RET0000010,ORD0000049,USR00008,2026-03-03,Changed mind,8342.86,9
RET0000011,ORD0000057,USR00009,2025-10-16,Damaged,4020.41,1
RET0000012,ORD0000063,USR00009,2025-10-09,Damaged,7037.18,2
RET0000013,ORD0000064,USR00009,2025-12-25,Damaged,3642.33,4
RET0000014,ORD0000065,USR00009,2025-11-08,Changed mind,5798.37,7
RET0000015,ORD0000068,USR00009,2025-10-14,Wrong item,2180.06,8
RET0000016,ORD0000077,USR00011,2025-12-18,Damaged,9128.4,2
RET0000017,ORD0000078,USR00012,2025-11-07,Damaged,6970.77,5
RET0000018,ORD0000079,USR00012,2026-03-03,Wrong item,3258.55,1
RET0000019,ORD0000091,USR00013,2025-11-09,Damaged,8103.11,9
RET0000020,ORD0000092,USR00013,2026-03-05,Changed mind,7523.61,3
RET0000021,ORD0000098,USR00013,2026-03-13,Changed mind,4322.35,7
RET0000022,ORD0000101,USR00014,2026-03-05,Wrong item,7177.51,8
RET0000023,ORD0000104,USR00014,2026-03-14,Changed mind,3935.77,2
RET0000024,ORD0000106,USR00014,2025-11-12,Damaged,3005.99,2
RET0000025,ORD0000110,USR00015,2025-11-06,Damaged,8870.55,5
RET0000026,ORD0000111,USR00015,2025-12-30,Changed mind,9324.23,6
RET0000027,ORD0000115,USR00015,2025-12-12,Wrong item,665.46,5
RET0000028,ORD0000120,USR00016,2026-01-15,Damaged,7624.05,2
RET0000029,ORD0000121,USR00016,2025-11-23,Wrong item,6836.75,6
RET0000030,ORD0000123,USR00017,2026-01-23,Changed mind,6491.47,1
RET0000031,ORD0000127,USR00017,2026-03-13,Damaged,3996.2,6
RET0000032,ORD0000128,USR00017,2025-11-25,Changed mind,9655.58,8
RET0000033,ORD0000132,USR00017,2025-12-06,Wrong item,3201.34,7
RET0000034,ORD0000136,USR00018,2025-12-14,Damaged,3765.3,2
RET0000035,ORD0000138,USR00018,2025-10-03,Damaged,6611.39,2
