user_id,join_date,city,country,account_age_days,loyalty_tier,num_devices_used,primary_device,is_fraud_ground_truth
USR00001,2025-12-05,Pune,India,112,Bronze,1,Android,0
USR00002,2026-01-05,Pune,India,81,Silver,1,Android,0
USR00003,2025-11-16,Delhi,India,131,Bronze,3,Web,0
USR00004,2024-12-14,Mumbai,India,468,Gold,1,Web,0
USR00005,2024-05-23,Chennai,India,673,Bronze,3,Web,0
USR00006,2024-02-07,Hyderabad,India,779,Bronze,2,Android,0
USR00007,2025-09-07,Mumbai,India,201,Bronze,1,Android,0
USR00008,2025-05-08,Chennai,India,323,Gold,2,Android,0
USR00009,2023-11-12,Chennai,India,866,Bronze,1,Web,0
USR00010,2024-10-23,Pune,India,520,Gold,2,Web,0
USR00011,2024-04-17,Hyderabad,India,709,Bronze,3,iOS,0
USR00012,2024-04-30,Chennai,India,696,Silver,2,Android,0
USR00013,2024-08-28,Delhi,India,576,Gold,1,iOS,0
USR00014,2023-12-20,Bangalore,India,828,Silver,3,Android,0
USR00015,2025-10-02,Delhi,India,176,Silver,2,Android,1
USR00016,2025-05-06,Mumbai,India,325,Silver,2,Android,1
USR00017,2024-01-31,Bangalore,India,786,Silver,2,Web,0
USR00018,2025-04-12,Bangalore,India,349,Bronze,3,Web,0
USR00019,2025-01-14,Hyderabad,India,437,Gold,1,Android,1
USR00020,2026-02-11,Hyderabad,India,44,Bronze,2,Web,0
USR00021,2024-09-02,Bangalore,India,571,Gold,2,Web,0
USR00022,2024-08-29,Bangalore,India,575,Gold,2,Android,0
USR00023,2024-11-26,Pune,India,486,Bronze,3,Android,1
USR00024,2024-09-08,Pune,India,565,Bronze,2,iOS,0
USR00025,2025-06-21,Mumbai,India,279,Bronze,3,Android,1
USR00026,2024-12-17,Hyderabad,India,465,Silver,2,iOS,0
USR00027,2024-04-15,Pune,India,711,Silver,1,Android,0
USR00028,2025-04-14,Bangalore,India,347,Silver,3,Android,1
USR00029,2023-09-08,Pune,India,931,Silver,1,Web,0
USR00030,2025-03-03,Pune,India,389,Gold,1,Android,0
USR00031,2026-03-03,Chennai,India,24,Gold,1,Android,0
USR00032,2023-11-30,Chennai,India,848,Gold,1,Android,0
USR00033,2024-06-08,Delhi,India,657,Silver,3,iOS,1
USR00034,2024-08-02,Bangalore,India,602,Gold,3,Web,0
USR00035,2025-03-04,Chennai,India,388,Bronze,1,Web,1
USR00036,2026-02-05,Bangalore,India,50,Bronze,3,Android,1
USR00037,2024-01-28,Mumbai,India,789,Silver,2,iOS,0
USR00038,2024-10-31,Bangalore,India,512,Bronze,3,Android,0
USR00039,2024-01-03,Chennai,India,814,Gold,3,iOS,0
USR00040,2024-03-22,Delhi,India,735,Gold,3,iOS,0
USR00041,2024-03-09,Hyderabad,India,748,Gold,1,iOS,1
USR00042,2024-06-13,Delhi,India,652,Silver,1,Android,0
USR00043,2024-10-31,Delhi,India,512,Gold,3,Web,0
USR00044,2024-01-13,Chennai,India,804,Silver,1,Web,0
USR00045,2023-11-11,Chennai,India,867,Silver,2,Web,0
USR00046,2024-04-26,Hyderabad,India,700,Silver,3,Android,1
USR00047,2025-07-20,Delhi,India,250,Gold,1,iOS,0
USR00048,2024-03-14,Mumbai,India,743,Bronze,1,Android,0
USR00049,2024-02-28,Delhi,India,758,Gold,3,Android,0
USR00050,2026-02-10,Pune,India,45,Silver,1,Web,0
USR00051,2024-04-18,Mumbai,India,708,Silver,3,iOS,0
USR00052,2024-08-17,Chennai,India,587,Silver,2,Web,1
USR00053,2023-08-08,Bangalore,India,962,Gold,1,Android,1
USR00054,2026-02-18,Pune,India,37,Gold,2,Android,1
USR00055,2024-06-16,Pune,India,649,Gold,2,iOS,0
USR00056,2024-11-30,Pune,India,482,Silver,3,Android,1
USR00057,2025-02-26,Bangalore,India,394,Silver,1,Android,0
USR00058,2024-06-23,Hyderabad,India,642,Bronze,1,Web,1
